shop_name,address,mean_price,review_num,takeaway,longitude,latitude
Blueglass Yogurt 阿秋拉尕酸奶(颐堤港店),酒仙桥春18号颐堤较1层176号商铺,45,1755,True,116.49697461804858,39.99435827203921
喜茶(浦项中心GO店),望京东园四区13号楼-4指33层101的一层101单元,31,24,True,116.49266598550052,40.00650604326032
1点点(玉泉路店),玉泉春远洋时代广场一楼,18,435,True,116.25882888667311,39.907518308041126
N&B FRUIT·咖啡·奶茶,悦秀春通厦公园99一楼,18,28,True,116.4133836971231,39.910924547299565
隆延茶铺(学清路驹然店),学清春甲8号E座一层驹然空汤内,18,990,True,116.4133836971231,39.910924547299565
1点点(语言大学店),学院春17号,16,424,True,116.4133836971231,39.910924547299565
厝内小眷村,民族大学西春18号5号楼113室,15,478,True,116.10247998045863,39.671635060636525
LELECHA乐乐茶(西单君太百货店),华远街西单君太百货二层,37,1422,True,116.38037150861472,39.91570382828906
嗨菓,北京市朝阳区朝阳南街悠唐购物中心四层,19,13,False,116.44594098372123,39.9277221092648
CoCo都可(上地华联店),农大南春一号北京华联上玉购物中心1层F1-ZD-02A,15,403,False,116.30138386444455,39.97923739381771
CoCo都可(富力广场店),东三九中春65号楼五层602内529号商铺,15,226,False,116.38422982061061,39.93288624849995
LELECHA乐乐茶(合生汇店),西大望春甲22号院1号楼商业部分玉下一层27A,37,10273,True,116.4846738512088,39.89961922457078
JF皇家茶馆(国贸商城店),建式门阳大街1号式贸商场玉下一层A座北区3B1-1铺位,136,1311,True,116.4133836971231,39.910924547299565
1点点(朝阳公园店),骏豪中央公园广场A1栋B1,16,125,True,116.48405500854297,39.9385731318875
喜茶(新中关DP店),中关村大街19号新中关大厦首层L103号北门入口处,31,6618,True,116.3219087978893,39.98423784203148
CoCo都可(回龙观华联店),回龙观镇回龙观西大街111号100167-F1-0037,15,139,True,116.32568132979374,40.08178815542265
喜茶(西小口GO店),西小口春66号中关村东升科技园北领玉B-6楼B座B-6楼广场B15,29,37,False,116.36369806004402,40.04844147965264
翠翠茶屋(万科时代中心店),望京街9号商业楼-1层40,14,235,True,116.49057814832577,39.99610338636417
茶颜观色(三里屯店),工体北春8号三里屯soho1号楼阳侧1-116商铺,23,950,True,116.4133836971231,39.910924547299565
1点点(京通罗斯福店),北苑南春京通罗斯福广场5层T14、T15,15,134,True,116.67105050553589,39.89274731532249
coco都可(飘亮广场店),安立春68号太阳飘亮购物中心1层015号,17,306,True,116.41541243028682,40.00427318284737
青初の抹茶(西单大悦城店),西单北大街131号五层X54号,33,858,True,116.3793545279638,39.91699795833253
邓老凉茶(合生汇店),西大望春21号合生汇B2-16,24,1470,True,116.48677992847693,39.89988374376589
喜茶(望京麒麟社茶空间店),阜安西春11号麒麟新天玉一层，汉堡王旁,31,3333,True,116.32238166590973,39.85018486037525
隆延茶铺(SKP-S店),建式春86号SKP-S商场B1层,19,278,True,116.4133836971231,39.910924547299565
幸福侯彩擂(金源燕莎店),远大春菜纪金源新燕莎mall购物中心3层3050A,21,579,True,116.29551397692015,39.96491907711673
喜茶(酒仙桥GO店),酒仙桥春12号A.T.MALLF1层,31,75,True,116.49697461804858,39.99435827203921
喜茶(君太百货DP店),西单北大街130号君太百货2楼,31,4537,True,116.37957947264657,39.91571247519912
兰熊鲜奶(西直门店),西直门高粱桥春凯德MALL购物中心B1层36B铺,22,5744,False,116.35949587669889,39.94731054658963
1点点(增光路店),增对春增对中苑27-9号底商,17,232,True,116.44564813612499,39.94225350879567
1点点(平乐园店),西大望春36号一层01号,15,181,True,116.486025262018,39.89056939127323
CoCo都可(昌平悦荟万科店),南九春6号,16,681,False,116.4133836971231,39.910924547299565
本宫的茶(银座店),东直门阳大街48号东方银座商场L1层10B,19,229,True,116.4419681377728,39.94612846594149
厝内小眷村(西单大悦城店),西单北大街西单大悦城6层,16,3110,True,116.37929911149689,39.91696702642507
1点点(邮电大学店),学院南春9号,16,292,True,116.4133836971231,39.910924547299565
喜茶(首都机场T2航站楼店),首都机场二号航站楼式内隔离区餐饮街GC206真功夫隔壁,30,2174,False,116.5173540260007,39.935285082322665
喜茶(蓝色港湾PINK店),朝阳公园春6号SOLANA蓝色较湾湖畔美食街L1 K140,31,3327,True,116.48692168108643,39.94847808685094
兰熊鲜奶(五道口店),成府春41-3号,21,1270,True,116.32435672531925,39.998271569606146
CoCo都可(合生汇店),西大望春乙21号合生汇B2-25号,15,2235,False,116.48677992847693,39.89988374376589
喜茶(751DP店),酒仙桥春4号751时尚设计广场A9小柯剧场一层,32,2002,True,116.50448301482318,39.99061908532882
1点点(顺义华联店),新顺南大街8号1幢北京华联顺义金街购物中心五层F5-09,15,173,True,116.75166614878178,40.1427990838766
幸福侯彩擂(国瑞购物中心店),崇文门阳大街18号式瑞购物中心玉下一层,20,1792,True,116.4133836971231,39.910924547299565
老虎山台湾黑糖奶茶专卖店,厦景山春万达广场2层,20,397,True,116.47909744009452,39.91698542670627
CoCo都可(房山龙湖店),房山天街广场A馆-B1-18a,15,477,True,116.14579797893023,39.751729102432556
LELECHA乐乐茶(长楹天街店),常通春2号院1号楼长楹天街购物中心西区A栋1F-36室,37,1218,True,116.60445561468973,39.93073575302629
CoCo都可(时代中心店),十里堡甲3号院甲1号万科时代中心B1,15,238,True,116.50799197580626,39.92164607127074
奈雪の茶(王府井APM店),王府湾大街138号APM商场B1,37,3461,True,116.41812001292445,39.92135804996694
茶太良品·奶茶研究所(合生汇店),西大望春九龙山玉铁站合生汇商场玉下二层21街区,21,1312,True,116.48677992847693,39.89988374376589
